선수명,status,url,n_seasons_pre_kbo,tried_n
채드 벨,matched,http://www.claydavenport.com/pt/B/BELL19890228A.shtml,17,
드류 루친스키,matched,http://www.claydavenport.com/pt/R/RUCINSKI19881230A.shtml,15,
에디 버틀러,matched,http://www.claydavenport.com/pt/B/BUTLER19910313A.shtml,19,
크리스천 프리드릭,matched,http://www.claydavenport.com/pt/F/FRIEDRICH19870708A.shtml,18,
윌리엄 쿠에바스,matched,http://www.claydavenport.com/pt/C/CUEVAS19901014A.shtml,15,
라울 알칸타라,matched,http://www.claydavenport.com/pt/A/ALCANTARA19921204A.shtml,14,
에릭 요키시,matched,http://www.claydavenport.com/pt/J/JOKISCH19890729A.shtml,18,
크리스 플렉센,matched,http://www.claydavenport.com/pt/F/FLEXEN19940701A.shtml,14,
데이비드 뷰캐넌,matched,http://www.claydavenport.com/pt/B/BUCHANAN19890511A.shtml,13,
애런 브룩스,matched,http://www.claydavenport.com/pt/B/BROOKS19900427A.shtml,17,
드류 가뇽,matched,http://www.claydavenport.com/pt/G/GAGNON19900626A.shtml,18,
댄 스트레일리,matched,http://www.claydavenport.com/pt/S/STRAILY19881201A.shtml,22,
애드리안 샘슨,matched,http://www.claydavenport.com/pt/S/SAMPSON19911007A.shtml,16,
마이크 라이트,matched,http://www.claydavenport.com/pt/W/WRIGHT19900103A.shtml,20,
오드리사머 데스파이네,unresolved,,,8
닉 킹엄,matched,http://www.claydavenport.com/pt/K/KINGHAM19911108A.shtml,19,
리카르도 핀토,matched,http://www.claydavenport.com/pt/P/PINTO19940120A.shtml,13,
아리엘 미란다,unresolved,,,8
워커 로켓,matched,http://www.claydavenport.com/pt/L/LOCKETT19940503A.shtml,21,
앤드류 수아레즈,matched,http://www.claydavenport.com/pt/S/SUAREZ19920911A.shtml,17,
대니얼 멩덴,matched,http://www.claydavenport.com/pt/M/MENGDEN19930219A.shtml,19,
보 다카하시,matched,http://www.claydavenport.com/pt/T/TAKAHASHI19970123A.shtml,11,
앤더슨 프랑코,matched,http://www.claydavenport.com/pt/F/FRANCO19921229A.shtml,17,
라이언 카펜터,matched,http://www.claydavenport.com/pt/C/CARPENTER19900822A.shtml,14,
웨스 파슨스,matched,http://www.claydavenport.com/pt/P/PARSONS19920906A.shtml,17,
윌머 폰트,matched,http://www.claydavenport.com/pt/F/FONT19900524A.shtml,26,
아티 르위키,matched,http://www.claydavenport.com/pt/L/LEWICKI19920408A.shtml,16,
