season,cFIP
2000,3.1342
2001,3.0491
2002,2.9621
2003,3.0315
2004,3.0493
2005,3.02
2006,3.1467
2007,3.2396
2008,3.132
2009,3.0971
2010,3.0778
2011,3.0254
2012,3.0945
2013,3.0479
2014,3.1323
2015,3.1336
2016,3.1466
2017,3.1576
2018,3.1604
2019,3.214
2020,3.1914
2021,3.17
2022,3.1124
2023,3.255
2024,3.1665
2025,3.1351
2026,3.0831
