role,n_train,n_val,n_test,alpha,cv_R2,Val_R2,Val_MAE,Test_R2,Test_MAE,coef_FIP_in,coef_WHIP_in,coef_K9_in,coef_BB9_in,coef_IP_in,coef_WAR_in,coef_ball_era
불펜형(GS/G<0.5),953,149,149,36.251,0.075,0.036,0.622,0.093,0.571,-0.016,0.043,0.057,-0.051,0.158,0.102,-0.008
선발형(GS/G>=0.5),345,49,46,2.868,0.326,0.366,1.15,0.303,1.428,0.158,0.18,0.303,-0.499,0.218,0.914,-0.001
