선수명,연도,팀,대체영입여부,실전출전여부,비고,출처유형,verified_statiz,kbo_no_appearance,english_name,birth_date,birth_date_source,throws,nationality,kbo_first_year_WAR,kbo_first_year_IP,kbo_first_year_GS,kbo_first_year_ERA,kbo_first_year_FIP,kbo_first_year_WHIP,kbo_first_year_K9,kbo_first_year_BB9,asia_league_experience,asia_league_detail,nationality_source,mlb_ip_last,mlb_fip_last,mlb_k9_last,mlb_bb9_last,mlb_hr9_last,mlb_fip_minus_last,mlb_ip_3yr,mlb_fip_3yr,mlb_k9_3yr,mlb_bb9_3yr,mlb_hr9_3yr,mlb_fip_minus_3yr,mlb_career_ip,mlb_fip_minus_career,mlb_fip_davenport_translated_last,mlb_fip_davenport_translated_3yr,aaa_ip_last,aaa_fip_last,aaa_k9_last,aaa_bb9_last,aaa_hr9_last,aaa_fip_minus_last,aaa_ip_3yr,aaa_fip_3yr,aaa_k9_3yr,aaa_bb9_3yr,aaa_hr9_3yr,aaa_fip_minus_3yr,aaa_career_ip,aaa_fip_minus_career,aaa_fip_davenport_translated_last,aaa_fip_davenport_translated_3yr,mlb_ip_share,mlb_career_war,mlb_n_seasons_pre_kbo,statcast_metrics_available,n_pitch_types_recorded,kbo_first_year_G,release_date,outcome_category,resigned_next_year,resigned_as_asia_quota,age_at_kbo_entry,predicted_WAR,translation_gap,mlb_workload_spike_ratio,mlb_workload_spike_log,mlb_workload_spike_diff,aaa_workload_spike_ratio,aaa_workload_spike_log,aaa_workload_spike_diff,has_mlb_record,has_aaa_record,fip_dav_last,hr9_dav_last,bb9_dav_3yr,fip_dav_career,primary_level,primary_last_season
테드 웨버,2014,NC,N,Y,STATIZ 신인지명 2014 NC와 일치,STATIZ 확인,1,0,Thad G. Weber,1984-09-28,statiz,R,United States,2.57,118.0,23.0,4.58,4.95,1.47,6.48,3.2,N,,wiki_provisional,15.0,5.048,6.0,4.8,1.2,131.938,19.0,4.847,5.211,4.737,0.947,124.824,19.0,124.824,4.853,4.663,151.333,5.246,6.601,2.914,1.665,132.987,173.3,4.999,6.646,2.7,1.558,126.412,173.3,126.412,3.234,5.213,0.099,-0.16,2.0,none,0,24.0,,완주-재계약안됨,N,,29.498,1.771,0.799,,,,6.878787878787879,1.9284424560149225,129.33333333333334,1,1,4.853,1.25,4.813,5.162,MLB,2013.0
트레비스 밴와트,2014,SK,N,Y,"STATIZ 신인지명 2014 SK와 일치, 2016-01-01 SK→KT 트레이드 확인(kt 2016 항목을 재영입으로 제외한 판단과 일치)",STATIZ 확인,1,0,Travis Banwart,1986-02-14,statiz,R,United States,2.28,66.2,11.0,3.1,4.67,1.23,7.56,3.51,N,,wiki_provisional,,,,,,,,,,,,,,,,,131.0,4.974,8.588,3.71,1.374,118.192,409.3,4.886,7.564,3.012,1.253,108.334,488.3,106.215,5.598,5.452,,,0.0,none,0,11.0,,완주-재계약됨(일반슬롯),Y,N,28.118,1.124,1.156,,,,1.0181347150259068,0.0179722424044304,2.333333333333343,0,1,5.598,2.13,3.508,5.369,AAA,2013.0
로스 울프,2014,SK,N,Y,STATIZ 신인지명 2014 SK와 일치,STATIZ 확인,1,0,Ross Wolf,1982-10-18,statiz,R,United States,2.23,85.1,13.0,4.85,5.65,1.35,4.32,2.85,N,,wiki_provisional,47.667,4.537,3.965,2.832,0.944,111.175,72.7,4.998,4.459,2.972,1.239,120.184,72.7,120.184,4.632,4.976,35.667,3.402,6.561,2.523,0.252,76.38,120.7,4.124,6.564,3.133,0.522,85.18,337.7,88.882,3.336,4.092,0.177,-0.307,3.0,none,0,23.0,,완주-재계약안됨,N,,31.444,2.348,-0.118,3.763157894736842,1.3252584705335215,35.0,3.1470588235294112,1.1464683098457449,24.33333333333333,1,1,4.632,1.156,3.053,4.565,MLB,2013.0
앤서니 스와잭,2015,두산,Y,Y,STATIZ 신인지명 2015 두산과 일치,STATIZ 확인,1,0,Anthony Swarzak,1985-09-10,statiz,R,United States,0.91,92.1,17.0,5.26,4.41,1.52,7.02,2.92,N,,wiki_provisional,86.0,3.772,4.919,2.93,0.523,98.885,278.7,3.955,5.749,2.616,0.872,99.759,439.7,104.409,3.902,3.889,32.333,3.546,6.959,1.948,0.835,87.376,223.7,4.185,5.593,2.656,0.845,102.156,268.7,103.559,4.371,5.299,0.621,1.844,5.0,none,0,20.0,,완주-재계약안됨,N,,29.544,2.189,-1.279,0.8958333333333334,-0.1100008952143284,-10.0,0.2895522388059701,-1.2394195533216836,-79.33333333333334,1,1,3.902,0.702,2.681,4.553,MLB,2014.0
타일러 클로이드,2015,삼성,N,Y,STATIZ 신인지명 2015 삼성과 일치,STATIZ 확인,1,0,Tyler Cloyd,1987-05-16,statiz,R,United States,1.91,159.2,28.0,5.19,4.93,1.43,6.93,2.14,N,,wiki_provisional,60.333,4.49,6.116,3.729,1.044,116.982,93.3,4.757,6.846,3.086,1.446,122.038,93.3,122.038,4.761,4.921,166.667,4.618,6.372,1.674,1.404,108.368,421.3,4.437,6.494,2.029,1.303,110.642,421.3,110.642,6.05,5.885,0.181,0.248,2.0,none,0,28.0,,완주-재계약안됨,N,,27.866,2.026,-0.116,1.8282828282828285,0.6033771811312358,27.333333333333336,1.4792899408284022,0.3915622029391728,53.999999999999986,1,1,6.05,2.591,2.512,5.703,AAA,2014.0
알프레도 피가로,2015,삼성,N,Y,STATIZ 신인지명 2015 삼성과 일치,STATIZ 확인,1,0,Alfredo Figaro,1984-07-07,statiz,R,Dominican Republic,5.32,165.0,25.0,3.38,4.56,1.24,6.38,2.78,Y,NPB Orix Buffaloes 2011-2012 (KBO 입단 이전),wiki_provisional,8.667,4.632,8.308,1.038,2.077,120.738,97.3,4.858,6.195,2.219,1.664,123.075,114.3,122.925,5.799,5.227,70.333,4.042,7.038,2.815,0.64,88.543,207.3,3.841,7.596,3.039,0.695,90.327,207.3,90.327,4.441,4.537,0.355,-0.531,4.0,none,0,25.0,,완주-재계약안됨,N,,30.721,2.178,3.142,0.1171171171171171,-2.1445808438507976,-65.33333333333333,5.41025641025641,1.68829648734642,57.33333333333333,1,1,5.799,3.0,2.237,4.754,MLB,2014.0
루카스 하렐,2015,LG,N,Y,"STATIZ에는 '루카스'로 등록. 신인지명 2015 LG와 일치, G=33 (뉴스 확인 내용과 일치)",STATIZ 확인,1,0,Lucas Harrell,1985-06-03,statiz,R,United States,2.67,171.2,30.0,4.93,4.84,1.65,7.92,5.66,N,,wiki_provisional,12.333,5.97,6.568,6.568,1.459,157.917,359.7,4.536,5.956,4.379,0.876,113.727,401.7,111.949,5.689,4.559,106.667,6.213,5.653,6.497,1.012,128.816,310.0,5.05,5.603,5.081,0.755,113.653,310.0,113.653,6.613,5.463,0.564,2.001,5.0,none,0,33.0,,완주-재계약안됨,N,,29.815,1.419,1.251,0.0802603036876355,-2.522480130352424,-141.33333333333331,0.7748184019370461,-0.2551265971672604,-30.999999999999982,1,1,5.689,1.353,4.513,4.969,MLB,2014.0
조쉬 스틴슨,2015,KIA,N,Y,STATIZ 신인지명 2015 KIA와 일치,STATIZ 확인,1,0,Joshua Randall Stinson,1988-03-14,statiz,R,United States,2.57,167.0,30.0,4.96,5.22,1.52,5.01,3.45,N,,wiki_provisional,13.0,6.055,4.154,4.154,1.385,154.703,39.3,5.629,4.805,3.203,1.602,139.567,52.3,133.923,5.731,5.343,85.333,5.162,8.438,4.008,1.477,128.759,278.0,4.791,6.442,4.047,1.036,120.851,306.0,120.445,6.37,5.979,0.146,-0.42,4.0,none,0,32.0,,완주-재계약안됨,N,,27.036,1.391,1.179,0.7647058823529411,-0.2682639865946794,-4.0,0.6513994910941475,-0.4286321673896988,-45.66666666666667,1,1,5.731,1.417,3.462,5.865,MLB,2014.0
에반 믹,2015,KIA,N,Y,STATIZ에는 '에반'으로 등록. 신인지명 2015 KIA와 일치,STATIZ 확인,1,0,Evan David Meek,1983-05-12,statiz,R,United States,0.25,26.1,1.0,4.44,3.37,1.63,8.54,4.44,N,,wiki_provisional,23.333,5.104,6.171,4.243,1.157,130.509,56.0,4.495,6.589,4.661,0.804,117.154,196.0,103.044,5.278,4.619,41.667,2.494,7.992,0.864,0.432,62.197,195.7,4.139,7.267,3.496,0.644,97.493,253.7,93.384,3.228,4.536,0.436,0.425,6.0,none,0,16.0,,완주-재계약안됨,N,,31.877,2.177,-1.927,1.9444444444444444,0.664976303593249,11.333333333333332,0.3858024691358024,-0.9524297784900284,-66.33333333333334,1,1,5.278,1.545,4.869,4.21,MLB,2014.0
브룩스 레일리,2015,롯데,N,Y,STATIZ 활약연도 2015-2019 롯데와 일치,STATIZ 확인,1,0,Brooks Raley,1988-06-29,statiz,L,United States,4.61,179.1,30.0,3.91,4.78,1.33,6.72,2.86,N,,wiki_provisional,14.0,5.048,9.0,5.143,1.286,133.505,38.3,6.208,7.043,4.461,2.113,159.484,38.3,159.484,4.581,6.308,141.333,4.504,6.05,2.866,0.828,105.583,223.3,4.403,6.609,2.942,0.806,101.1,223.3,101.1,4.794,4.797,0.146,-0.586,2.0,none,0,31.0,,완주-재계약됨(일반슬롯),Y,N,26.743,1.973,2.637,0.5753424657534247,-0.5527898228650227,-10.333333333333332,1.7235772357723578,0.544401919299595,59.33333333333334,1,1,4.794,0.965,3.868,4.993,AAA,2014.0
