model,cv_R2,Train_R2,Val_R2,Val_MAE,Test_R2,Test_MAE
Baseline(FIP_in),,0.037,0.033,0.992,0.043,0.953
Ridge(alpha=1.94),0.399,0.412,0.358,0.773,0.352,0.783
RF(재탐색),0.419,0.472,0.364,0.758,0.365,0.764
GB(재탐색),0.411,0.573,0.345,0.754,0.409,0.751
