선수명,fastball_pct,breaking_pct,offspeed_pct,primary_fb_velo,whiff_pct_weighted,run_value_weighted,n_pitch_types,cluster
제이크 톰슨,45.8,25.7,28.5,90.6,18.9317,-0.07249999999999998,4,3
제임스 네일,57.800000000000004,38.6,3.6,91.7,14.437999999999997,-1.7468000000000001,5,0
조던 발라조빅,47.4,43.6,8.9,95.1,18.554854854854856,-0.6987987987987989,4,2
조시 스미스,34.7,62.7,2.6,90.4,22.364300000000004,-0.6260999999999999,5,2
찰리 반스,44.1,24.3,29.2,89.8,15.589856557377049,-1.0549180327868852,4,3
채드 벨,65.8,30.1,4.1,93.0,23.243299999999998,-2.2418,5,0
카일 하트,41.6,40.0,18.5,88.7,24.154245754245753,-4.182417582417583,5,3
커크 맥카티,78.9,13.399999999999999,7.7,88.5,23.891599999999997,-0.9841000000000001,5,0
케니 로젠버그,62.2,5.0,32.8,90.2,21.8002,-1.0528,4,1
케이시 켈리,53.5,35.7,10.8,91.5,22.7073,-0.7887000000000001,5,3
코너 시볼드,54.400000000000006,32.3,13.3,92.6,21.5215,-1.7629000000000001,5,0
코디 폰세,60.900000000000006,30.8,8.3,93.2,21.4461,-2.7721000000000005,5,0
콜 어빈,57.4,29.2,13.4,91.7,16.8461,-0.9955999999999999,6,0
크리스 플렉센,83.6,3.6,12.8,94.3,19.357200000000002,-0.8802999999999999,5,0
타일러 윌슨,71.9,21.2,6.8,90.8,19.588688688688688,-1.7342342342342338,5,0
태너 털리,59.5,30.200000000000003,10.3,90.9,19.625000000000004,-2.762200000000001,4,3
터커 데이비드슨,31.299999999999997,46.199999999999996,17.9,90.8,22.142976939203354,1.5409853249475889,5,3
테일러 와이드너,67.9,21.4,10.4,94.0,20.6074222668004,-1.1361083249749246,4,0
토마스 파노니,61.7,23.0,15.4,89.7,25.820379620379622,-0.5651348651348652,4,3
팀 아델만,64.8,15.2,20.0,90.0,24.9989,-0.9208,4,3
패트릭 머피,69.1,31.0,0.0,96.1,19.496403596403596,-1.759040959040959,3,2
펠릭스 페냐,43.1,38.5,18.5,92.5,39.72687312687313,-5.86963036963037,4,1
하이메 바리아,35.2,50.7,14.1,93.0,23.1177,-1.0008,4,2
헤르손 가라비토,49.599999999999994,38.8,11.6,93.4,20.6898,-1.0929,5,2
