model,cv_R2,Train_R2,Val_R2,Val_MAE,Test_R2,Test_MAE
Baseline(FIP_in),,0.037,0.033,0.992,0.043,0.953
Ridge(alpha=24.54),0.362,0.372,0.312,0.809,0.314,0.799
RF(재탐색),0.416,0.47,0.326,0.78,0.342,0.782
GB(재탐색),0.415,0.515,0.324,0.791,0.391,0.776
